"","Event.No","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
"1",1,5.09999990463257,3.5,1.39999997615814,0.200000002980232
"2",2,4.90000009536743,3,1.39999997615814,0.200000002980232
"3",3,4.69999980926514,3.20000004768372,1.29999995231628,0.200000002980232
"4",4,4.59999990463257,3.09999990463257,1.5,0.200000002980232
"5",5,5,3.59999990463257,1.39999997615814,0.200000002980232
"6",6,5.40000009536743,3.90000009536743,1.70000004768372,0.400000005960464
"7",7,4.59999990463257,3.40000009536743,1.39999997615814,0.300000011920929
"8",8,5,3.40000009536743,1.5,0.200000002980232
"9",9,4.40000009536743,2.90000009536743,1.39999997615814,0.200000002980232
"10",10,4.90000009536743,3.09999990463257,1.5,0.100000001490116
"11",11,5.40000009536743,3.70000004768372,1.5,0.200000002980232
"12",12,4.80000019073486,3.40000009536743,1.60000002384186,0.200000002980232
"13",13,4.80000019073486,3,1.39999997615814,0.100000001490116
"14",14,4.30000019073486,3,1.10000002384186,0.100000001490116
"15",15,5.80000019073486,4,1.20000004768372,0.200000002980232
"16",16,5.69999980926514,4.40000009536743,1.5,0.400000005960464
"17",17,5.40000009536743,3.90000009536743,1.29999995231628,0.400000005960464
"18",18,5.09999990463257,3.5,1.39999997615814,0.300000011920929
"19",19,5.69999980926514,3.79999995231628,1.70000004768372,0.300000011920929
"20",20,5.09999990463257,3.79999995231628,1.5,0.300000011920929
"21",21,5.40000009536743,3.40000009536743,1.70000004768372,0.200000002980232
"22",22,5.09999990463257,3.70000004768372,1.5,0.400000005960464
"23",23,4.59999990463257,3.59999990463257,1,0.200000002980232
"24",24,5.09999990463257,3.29999995231628,1.70000004768372,0.5
"25",25,4.80000019073486,3.40000009536743,1.89999997615814,0.200000002980232
"26",26,5,3,1.60000002384186,0.200000002980232
"27",27,5,3.40000009536743,1.60000002384186,0.400000005960464
"28",28,5.19999980926514,3.5,1.5,0.200000002980232
"29",29,5.19999980926514,3.40000009536743,1.39999997615814,0.200000002980232
"30",30,4.69999980926514,3.20000004768372,1.60000002384186,0.200000002980232
"31",31,4.80000019073486,3.09999990463257,1.60000002384186,0.200000002980232
"32",32,5.40000009536743,3.40000009536743,1.5,0.400000005960464
"33",33,5.19999980926514,4.09999990463257,1.5,0.100000001490116
"34",34,5.5,4.19999980926514,1.39999997615814,0.200000002980232
"35",35,4.90000009536743,3.09999990463257,1.5,0.200000002980232
"36",36,5,3.20000004768372,1.20000004768372,0.200000002980232
"37",37,5.5,3.5,1.29999995231628,0.200000002980232
"38",38,4.90000009536743,3.59999990463257,1.39999997615814,0.100000001490116
"39",39,4.40000009536743,3,1.29999995231628,0.200000002980232
"40",40,5.09999990463257,3.40000009536743,1.5,0.200000002980232
"41",41,5,3.5,1.29999995231628,0.300000011920929
"42",42,4.5,2.29999995231628,1.29999995231628,0.300000011920929
"43",43,4.40000009536743,3.20000004768372,1.29999995231628,0.200000002980232
"44",44,5,3.5,1.60000002384186,0.600000023841858
"45",45,5.09999990463257,3.79999995231628,1.89999997615814,0.400000005960464
"46",46,4.80000019073486,3,1.39999997615814,0.300000011920929
"47",47,5.09999990463257,3.79999995231628,1.60000002384186,0.200000002980232
"48",48,4.59999990463257,3.20000004768372,1.39999997615814,0.200000002980232
"49",49,5.30000019073486,3.70000004768372,1.5,0.200000002980232
"50",50,5,3.29999995231628,1.39999997615814,0.200000002980232
"51",51,7,3.20000004768372,4.69999980926514,1.39999997615814
"52",52,6.40000009536743,3.20000004768372,4.5,1.5
"53",53,6.90000009536743,3.09999990463257,4.90000009536743,1.5
"54",54,5.5,2.29999995231628,4,1.29999995231628
"55",55,6.5,2.79999995231628,4.59999990463257,1.5
"56",56,5.69999980926514,2.79999995231628,4.5,1.29999995231628
"57",57,6.30000019073486,3.29999995231628,4.69999980926514,1.60000002384186
"58",58,4.90000009536743,2.40000009536743,3.29999995231628,1
"59",59,6.59999990463257,2.90000009536743,4.59999990463257,1.29999995231628
"60",60,5.19999980926514,2.70000004768372,3.90000009536743,1.39999997615814
"61",61,5,2,3.5,1
"62",62,5.90000009536743,3,4.19999980926514,1.5
"63",63,6,2.20000004768372,4,1
"64",64,6.09999990463257,2.90000009536743,4.69999980926514,1.39999997615814
"65",65,5.59999990463257,2.90000009536743,3.59999990463257,1.29999995231628
"66",66,6.69999980926514,3.09999990463257,4.40000009536743,1.39999997615814
"67",67,5.59999990463257,3,4.5,1.5
"68",68,5.80000019073486,2.70000004768372,4.09999990463257,1
"69",69,6.19999980926514,2.20000004768372,4.5,1.5
"70",70,5.59999990463257,2.5,3.90000009536743,1.10000002384186
"71",71,5.90000009536743,3.20000004768372,4.80000019073486,1.79999995231628
"72",72,6.09999990463257,2.79999995231628,4,1.29999995231628
"73",73,6.30000019073486,2.5,4.90000009536743,1.5
"74",74,6.09999990463257,2.79999995231628,4.69999980926514,1.20000004768372
"75",75,6.40000009536743,2.90000009536743,4.30000019073486,1.29999995231628
"76",76,6.59999990463257,3,4.40000009536743,1.39999997615814
"77",77,6.80000019073486,2.79999995231628,4.80000019073486,1.39999997615814
"78",78,6.69999980926514,3,5,1.70000004768372
"79",79,6,2.90000009536743,4.5,1.5
"80",80,5.69999980926514,2.59999990463257,3.5,1
"81",81,5.5,2.40000009536743,3.79999995231628,1.10000002384186
"82",82,5.5,2.40000009536743,3.70000004768372,1
"83",83,5.80000019073486,2.70000004768372,3.90000009536743,1.20000004768372
"84",84,6,2.70000004768372,5.09999990463257,1.60000002384186
"85",85,5.40000009536743,3,4.5,1.5
"86",86,6,3.40000009536743,4.5,1.60000002384186
"87",87,6.69999980926514,3.09999990463257,4.69999980926514,1.5
"88",88,6.30000019073486,2.29999995231628,4.40000009536743,1.29999995231628
"89",89,5.59999990463257,3,4.09999990463257,1.29999995231628
"90",90,5.5,2.5,4,1.29999995231628
"91",91,5.5,2.59999990463257,4.40000009536743,1.20000004768372
"92",92,6.09999990463257,3,4.59999990463257,1.39999997615814
"93",93,5.80000019073486,2.59999990463257,4,1.20000004768372
"94",94,5,2.29999995231628,3.29999995231628,1
"95",95,5.59999990463257,2.70000004768372,4.19999980926514,1.29999995231628
"96",96,5.69999980926514,3,4.19999980926514,1.20000004768372
"97",97,5.69999980926514,2.90000009536743,4.19999980926514,1.29999995231628
"98",98,6.19999980926514,2.90000009536743,4.30000019073486,1.29999995231628
"99",99,5.09999990463257,2.5,3,1.10000002384186
"100",100,5.69999980926514,2.79999995231628,4.09999990463257,1.29999995231628
"101",101,6.30000019073486,3.29999995231628,6,2.5
"102",102,5.80000019073486,2.70000004768372,5.09999990463257,1.89999997615814
"103",103,7.09999990463257,3,5.90000009536743,2.09999990463257
"104",104,6.30000019073486,2.90000009536743,5.59999990463257,1.79999995231628
"105",105,6.5,3,5.80000019073486,2.20000004768372
"106",106,7.59999990463257,3,6.59999990463257,2.09999990463257
"107",107,4.90000009536743,2.5,4.5,1.70000004768372
"108",108,7.30000019073486,2.90000009536743,6.30000019073486,1.79999995231628
"109",109,6.69999980926514,2.5,5.80000019073486,1.79999995231628
"110",110,7.19999980926514,3.59999990463257,6.09999990463257,2.5
"111",111,6.5,3.20000004768372,5.09999990463257,2
"112",112,6.40000009536743,2.70000004768372,5.30000019073486,1.89999997615814
"113",113,6.80000019073486,3,5.5,2.09999990463257
"114",114,5.69999980926514,2.5,5,2
"115",115,5.80000019073486,2.79999995231628,5.09999990463257,2.40000009536743
"116",116,6.40000009536743,3.20000004768372,5.30000019073486,2.29999995231628
"117",117,6.5,3,5.5,1.79999995231628
"118",118,7.69999980926514,3.79999995231628,6.69999980926514,2.20000004768372
"119",119,7.69999980926514,2.59999990463257,6.90000009536743,2.29999995231628
"120",120,6,2.20000004768372,5,1.5
"121",121,6.90000009536743,3.20000004768372,5.69999980926514,2.29999995231628
"122",122,5.59999990463257,2.79999995231628,4.90000009536743,2
"123",123,7.69999980926514,2.79999995231628,6.69999980926514,2
"124",124,6.30000019073486,2.70000004768372,4.90000009536743,1.79999995231628
"125",125,6.69999980926514,3.29999995231628,5.69999980926514,2.09999990463257
"126",126,7.19999980926514,3.20000004768372,6,1.79999995231628
"127",127,6.19999980926514,2.79999995231628,4.80000019073486,1.79999995231628
"128",128,6.09999990463257,3,4.90000009536743,1.79999995231628
"129",129,6.40000009536743,2.79999995231628,5.59999990463257,2.09999990463257
"130",130,7.19999980926514,3,5.80000019073486,1.60000002384186
"131",131,7.40000009536743,2.79999995231628,6.09999990463257,1.89999997615814
"132",132,7.90000009536743,3.79999995231628,6.40000009536743,2
"133",133,6.40000009536743,2.79999995231628,5.59999990463257,2.20000004768372
"134",134,6.30000019073486,2.79999995231628,5.09999990463257,1.5
"135",135,6.09999990463257,2.59999990463257,5.59999990463257,1.39999997615814
"136",136,7.69999980926514,3,6.09999990463257,2.29999995231628
"137",137,6.30000019073486,3.40000009536743,5.59999990463257,2.40000009536743
"138",138,6.40000009536743,3.09999990463257,5.5,1.79999995231628
"139",139,6,3,4.80000019073486,1.79999995231628
"140",140,6.90000009536743,3.09999990463257,5.40000009536743,2.09999990463257
"141",141,6.69999980926514,3.09999990463257,5.59999990463257,2.40000009536743
"142",142,6.90000009536743,3.09999990463257,5.09999990463257,2.29999995231628
"143",144,6.80000019073486,3.20000004768372,5.90000009536743,2.29999995231628
"144",145,6.69999980926514,3.29999995231628,5.69999980926514,2.5
"145",146,6.69999980926514,3,5.19999980926514,2.29999995231628
"146",147,6.30000019073486,2.5,5,1.89999997615814
"147",148,6.5,3,5.19999980926514,2
"148",149,6.19999980926514,3.40000009536743,5.40000009536743,2.29999995231628
"149",150,5.90000009536743,3,5.09999990463257,1.79999995231628
